region,code,election,label,votes,prop
경기 수원시을,2423,2022_loc_pro,보수,43743,46.54302860061287
경기 평택시을,2424,2022_loc_pro,보수,28135,53.14607378
경기 화성시을,2425,2022_loc_pro,보수,30716,45.001831367665375
경기 고양시을,2421,2022_loc_pro,진보,7340,7.374216363928629
경기 부천시을,2422,2022_loc_pro,진보,5379,5.310389764245942
경기 수원시을,2423,2022_loc_pro,진보,5211,5.544560776302349
경기 평택시을,2424,2022_loc_pro,진보,2172,4.102835339
경기 화성시을,2425,2022_loc_pro,진보,3484,5.1043879569262325
경기 고양시을,2421,2022_loc_pro,기타,0,0
경기 부천시을,2422,2022_loc_pro,기타,0,0
경기 수원시을,2423,2022_loc_pro,기타,0,0
경기 평택시을,2424,2022_loc_pro,기타,0,0
경기 화성시을,2425,2022_loc_pro,기타,0,0
경기 고양시을,2421,2022_loc_gov,민주,51734,51.25273680143453
경기 부천시을,2422,2022_loc_gov,민주,52789,51.75037007264207
경기 수원시을,2423,2022_loc_gov,민주,50037,52.72324956535483
경기 평택시을,2424,2022_loc_gov,민주,24006,45.815600129778424
경기 화성시을,2425,2022_loc_gov,민주,37369,54.45074239752874
경기 고양시을,2421,2022_loc_gov,보수,46578,46.14470125521354
경기 부천시을,2422,2022_loc_gov,보수,47399,46.46641897124707
경기 수원시을,2423,2022_loc_gov,보수,43039,45.34956008640219
경기 평택시을,2424,2022_loc_gov,보수,27221,51.951447601961945
경기 화성시을,2425,2022_loc_gov,보수,30085,43.837153389966346
경기 고양시을,2421,2022_loc_gov,진보,1776,1.7594784969139778
경기 부천시을,2422,2022_loc_gov,진보,996,0.9764035801464606
경기 수원시을,2423,2022_loc_gov,진보,987,1.0399873557768293
경기 평택시을,2424,2022_loc_gov,진보,596,1.1374697024638816
경기 화성시을,2425,2022_loc_gov,진보,532,0.7751825030235032
경기 고양시을,2421,2022_loc_gov,기타,851,0.8430834464379477
경기 부천시을,2422,2022_loc_gov,기타,823,0.8068073759643946
경기 수원시을,2423,2022_loc_gov,기타,842,0.8872029924661504
경기 평택시을,2424,2022_loc_gov,기타,574,1.0954825657957517
경기 화성시을,2425,2022_loc_gov,기타,643,0.9369217094814145
경기 고양시을,2421,2024_na_pro,민주,73739,54.69724729810923
